placement,n,swap_same_rate_mean,swap_same_rate_mean_visual,swap_same_rate_mean_non_visual,same_orig_blank_rate,same_orig_blank_rate_visual,same_orig_blank_rate_non_visual,MDI_orig_mean,MDI_orig_mean_visual,MDI_orig_mean_non_visual,AEI_T_orig_mean,AEI_T_orig_mean_visual,AEI_T_orig_mean_non_visual,effrank_text_orig_mean,effrank_image_orig_mean,cka_ti_orig_mean,effrank_text_orig_mean_visual,effrank_image_orig_mean_visual,cka_ti_orig_mean_visual,effrank_text_orig_mean_non_visual,effrank_image_orig_mean_non_visual,cka_ti_orig_mean_non_visual
llm_attn,95,0.8263157894736842,0.7357142857142858,0.8791666666666667,0.8210526315789474,0.7428571428571429,0.8666666666666667,198.50315450559933,217.88928084413763,187.19458080811876,8.697036561810387,9.464502978896443,8.249347818510183,30.98454616526873,12.347585698709386,0.2079194047733357,31.46730790105391,12.612261184852631,0.2083602773291724,30.702935152727374,12.193191665125834,0.2076622291157643
llm_mlp,95,0.7947368421052632,0.7,0.85,0.8315789473684211,0.7714285714285715,0.8666666666666667,192.7262064678271,211.40142396994833,181.83232959158966,8.686530789524163,9.452836879562899,8.239518903668232,30.641622095762003,12.368582849463069,0.20614607381193262,31.092833942246678,12.645486883717219,0.20613775210721152,30.37841518531261,12.207055496148152,0.20615092813968658
projector,95,0.6763157894736842,0.6214285714285714,0.7083333333333334,0.6631578947368421,0.6857142857142857,0.65,192.1058478914856,210.8884510623827,181.14932937512896,8.68505683898732,9.451359419672576,8.23804700025425,29.902438606445063,12.385923704410668,0.202332351709667,30.070747080878977,12.661589057001905,0.20050503143242426,29.804258663025283,12.225118915399117,0.2033982885380586
all,95,0.8289473684210527,0.75,0.875,0.8,0.6857142857142857,0.8666666666666667,202.84687891193565,224.15626974401138,190.41640092655814,8.704511850427012,9.475774605666755,8.254608576537159,29.017755029777344,12.352383034947602,0.1984357603286442,29.30130311122882,12.621865283187974,0.19819039702415467,28.85235198226399,12.195185056807397,0.19857888892292977
